"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 24 11:33:49 GMT 2025","Fri Jan 24 11:33:58 GMT 2025","9240","","Search","","User can search for a repository","","User can search for a repository",""
"failed","Fri Jan 24 11:36:07 GMT 2025","Fri Jan 24 11:36:19 GMT 2025","11887","","Search","","User can search for a repository","","User can search for a repository",""
"passed","Fri Jan 24 11:35:19 GMT 2025","Fri Jan 24 11:36:07 GMT 2025","47629","","Login","","User is able to sign in","","User is able to sign in",""
