"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 24 11:44:50 GMT 2025","Fri Jan 24 11:45:32 GMT 2025","42588","","Login","","User is able to sign in","","User is able to sign in",""
"passed","Fri Jan 24 11:43:19 GMT 2025","Fri Jan 24 11:43:28 GMT 2025","9133","","Search","","User can search for a repository","","User can search for a repository",""
"passed","Fri Jan 24 11:44:50 GMT 2025","Fri Jan 24 11:44:58 GMT 2025","7648","","Search","","User can search for a repository","","User can search for a repository",""
